product_id,baseline_price,cost,avg_rating_last_30d,recent_complaints,competitor_avg_price,trend
2000,128.98,75.0,3.63,10,109–140,negative
2001,91.18,40.0,3.98,3,65–100,unclear
2002,180.99,143.0,4.26,7,160–190,stable
2003,177.36,143.0,3.77,3,160–190,stable
2004,49.61,27.0,4.7,2,44–52,stable
2005,90.5,40.0,4.48,2,65–100,unclear
2006,159.34,95.0,3.37,15,130–180,negative?
2007,91.49,40.0,4.35,2,65–100,unclear
2008,177.29,143.0,3.85,2,160–190,stable
2009,161.87,95.0,3.26,14,130–180,negative?
2010,158.64,95.0,3.27,19,130–180,negative?
2011,50.14,27.0,4.22,2,44–52,stable
2012,160.89,95.0,3.22,19,130–180,negative?
2013,48.58,27.0,4.15,3,44–52,stable
2014,180.56,143.0,4.23,4,160–190,stable
2015,91.48,40.0,4.5,2,65–100,unclear
2016,49.07,27.0,4.32,1,44–52,stable
2017,127.36,75.0,3.82,10,109–140,negative
2018,50.68,27.0,4.68,2,44–52,stable
2019,89.39,40.0,4.12,1,65–100,unclear
2020,129.61,75.0,4.08,10,109–140,negative
2021,91.74,40.0,4.02,4,65–100,unclear
2022,51.24,27.0,4.46,0,44–52,stable
2023,49.87,27.0,4.34,5,44–52,stable
2024,180.73,143.0,3.86,4,160–190,stable
2025,160.02,95.0,2.87,17,130–180,negative?
2026,160.12,95.0,3.1,16,130–180,negative?
2027,90.66,40.0,4.13,3,65–100,unclear
2028,158.95,95.0,3.02,17,130–180,negative?
2029,91.44,40.0,4.04,0,65–100,unclear
2030,160.73,95.0,2.91,14,130–180,negative?
2031,160.3,95.0,3.27,14,130–180,negative?
2032,248.88,110.0,4.77,0,unknown,rising?
2033,91.07,40.0,3.99,0,65–100,unclear
2034,88.05,40.0,3.91,0,65–100,unclear
2035,50.07,27.0,4.69,1,44–52,stable
2036,90.28,40.0,4.05,2,65–100,unclear
2037,248.72,110.0,4.64,3,unknown,rising?
2038,159.13,95.0,3.09,18,130–180,negative?
2039,249.19,110.0,4.59,0,unknown,rising?
2040,129.92,75.0,3.63,13,109–140,negative
2041,90.73,40.0,4.17,0,65–100,unclear
2042,127.63,75.0,3.94,14,109–140,negative
2043,50.46,27.0,4.67,4,44–52,stable
2044,129.43,75.0,3.78,11,109–140,negative
2045,160.59,95.0,3.3,17,130–180,negative?
2046,91.69,40.0,4.23,0,65–100,unclear
2047,250.3,110.0,4.45,3,unknown,rising?
2048,161.77,95.0,3.23,19,130–180,negative?
2049,91.55,40.0,4.28,4,65–100,unclear
2050,249.52,110.0,4.64,2,unknown,rising?
2051,159.75,95.0,3.09,14,130–180,negative?
2052,251.86,110.0,4.63,0,unknown,rising?
2053,128.83,75.0,3.94,12,109–140,negative
2054,90.76,40.0,4.33,2,65–100,unclear
2055,88.97,40.0,4.29,3,65–100,unclear
2056,251.69,110.0,4.55,2,unknown,rising?
2057,89.88,40.0,4.36,3,65–100,unclear
2058,178.76,143.0,4.16,2,160–190,stable
2059,48.17,27.0,4.18,3,44–52,stable
2060,180.97,143.0,3.93,7,160–190,stable
2061,129.34,75.0,3.97,10,109–140,negative
2062,178.05,143.0,4.06,4,160–190,stable
2063,249.41,110.0,4.61,1,unknown,rising?
2064,248.15,110.0,4.83,3,unknown,rising?
2065,88.4,40.0,4.17,0,65–100,unclear
2066,48.87,27.0,4.44,2,44–52,stable
2067,128.13,75.0,3.59,12,109–140,negative
2068,161.57,95.0,3.31,17,130–180,negative?
2069,179.62,143.0,3.93,6,160–190,stable
2070,179.56,143.0,4.29,7,160–190,stable
2071,128.35,75.0,3.67,12,109–140,negative
2072,90.96,40.0,4.01,2,65–100,unclear
2073,248.94,110.0,4.57,0,unknown,rising?
2074,250.87,110.0,4.51,0,unknown,rising?
2075,250.72,110.0,4.77,3,unknown,rising?
2076,89.73,40.0,4.47,4,65–100,unclear
2077,248.78,110.0,4.52,1,unknown,rising?
2078,158.02,95.0,3.32,19,130–180,negative?
2079,249.94,110.0,4.74,0,unknown,rising?
2080,179.09,143.0,3.86,2,160–190,stable
2081,180.09,143.0,3.77,3,160–190,stable
2082,128.34,75.0,3.52,10,109–140,negative
2083,89.7,40.0,4.14,0,65–100,unclear
2084,249.11,110.0,4.84,0,unknown,rising?
2085,91.52,40.0,4.17,0,65–100,unclear
2086,248.61,110.0,4.65,1,unknown,rising?
2087,91.9,40.0,4.16,2,65–100,unclear
2088,130.18,75.0,3.94,9,109–140,negative
2089,161.93,95.0,3.2,14,130–180,negative?
2090,130.2,75.0,3.8,10,109–140,negative
2091,161.92,95.0,3.08,19,130–180,negative?
2092,88.15,40.0,3.9,3,65–100,unclear
2093,249.82,110.0,4.52,3,unknown,rising?
2094,161.43,95.0,3.17,15,130–180,negative?
2095,48.35,27.0,4.65,4,44–52,stable
2096,161.37,95.0,2.85,17,130–180,negative?
2097,159.96,95.0,3.02,19,130–180,negative?
2098,249.22,110.0,4.46,3,unknown,rising?
2099,160.89,95.0,2.97,14,130–180,negative?
2100,51.8,27.0,4.44,2,44–52,stable
2101,177.75,143.0,3.85,4,160–190,stable
2102,160.22,95.0,2.99,18,130–180,negative?
2103,160.33,95.0,2.81,14,130–180,negative?
2104,160.21,95.0,2.97,17,130–180,negative?
2105,178.91,143.0,4.05,6,160–190,stable
2106,179.91,143.0,4.08,5,160–190,stable
2107,161.4,95.0,3.4,19,130–180,negative?
2108,248.77,110.0,4.81,0,unknown,rising?
2109,127.06,75.0,3.87,12,109–140,negative
2110,249.72,110.0,4.53,3,unknown,rising?
2111,48.67,27.0,4.56,3,44–52,stable
2112,158.63,95.0,3.36,16,130–180,negative?
2113,158.68,95.0,3.1,18,130–180,negative?
2114,88.62,40.0,4.49,2,65–100,unclear
2115,177.91,143.0,4.24,5,160–190,stable
2116,159.22,95.0,2.8,14,130–180,negative?
2117,127.8,75.0,3.71,9,109–140,negative
2118,50.22,27.0,4.65,5,44–52,stable
2119,128.37,75.0,4.0,13,109–140,negative
2120,160.92,95.0,3.33,16,130–180,negative?
2121,179.56,143.0,3.8,2,160–190,stable
2122,180.5,143.0,4.19,4,160–190,stable
2123,158.41,95.0,3.21,14,130–180,negative?
2124,129.95,75.0,3.98,9,109–140,negative
2125,178.85,143.0,4.0,4,160–190,stable
2126,128.28,75.0,4.0,13,109–140,negative
2127,177.31,143.0,3.82,7,160–190,stable
2128,127.55,75.0,3.93,9,109–140,negative
2129,127.9,75.0,3.83,10,109–140,negative
2130,129.09,75.0,3.68,14,109–140,negative
2131,49.17,27.0,4.65,1,44–52,stable
2132,158.82,95.0,3.24,17,130–180,negative?
2133,49.52,27.0,4.32,4,44–52,stable
2134,180.51,143.0,3.71,3,160–190,stable
2135,180.58,143.0,4.28,7,160–190,stable
2136,250.24,110.0,4.52,1,unknown,rising?
2137,49.97,27.0,4.65,1,44–52,stable
2138,159.46,95.0,3.32,19,130–180,negative?
2139,90.56,40.0,4.41,0,65–100,unclear
2140,250.44,110.0,4.82,0,unknown,rising?
2141,180.26,143.0,4.0,3,160–190,stable
2142,250.44,110.0,4.41,3,unknown,rising?
2143,50.33,27.0,4.14,1,44–52,stable
2144,129.85,75.0,3.88,13,109–140,negative
2145,128.42,75.0,3.66,9,109–140,negative
2146,128.24,75.0,3.9,13,109–140,negative
2147,178.57,143.0,3.99,4,160–190,stable
2148,48.66,27.0,4.15,5,44–52,stable
2149,130.77,75.0,3.64,12,109–140,negative
2150,128.68,75.0,3.78,9,109–140,negative
2151,50.72,27.0,4.33,3,44–52,stable
2152,159.54,95.0,2.81,17,130–180,negative?
2153,129.92,75.0,3.57,11,109–140,negative
2154,88.32,40.0,4.04,2,65–100,unclear
2155,51.84,27.0,4.51,2,44–52,stable
2156,51.87,27.0,4.52,5,44–52,stable
2157,128.88,75.0,3.62,9,109–140,negative
2158,51.67,27.0,4.13,0,44–52,stable
2159,128.71,75.0,3.64,13,109–140,negative
2160,179.72,143.0,4.1,7,160–190,stable
2161,91.0,40.0,3.93,0,65–100,unclear
2162,128.15,75.0,3.7,11,109–140,negative
2163,161.79,95.0,2.84,19,130–180,negative?
2164,158.91,95.0,3.16,14,130–180,negative?
2165,50.66,27.0,4.23,1,44–52,stable
2166,178.2,143.0,4.15,5,160–190,stable
2167,158.67,95.0,3.38,16,130–180,negative?
2168,160.49,95.0,3.24,17,130–180,negative?
2169,127.13,75.0,3.74,12,109–140,negative
2170,158.64,95.0,3.3,16,130–180,negative?
2171,129.09,75.0,3.99,9,109–140,negative
2172,49.23,27.0,4.66,4,44–52,stable
2173,127.9,75.0,4.09,11,109–140,negative
2174,160.24,95.0,3.39,17,130–180,negative?
2175,178.62,143.0,4.28,3,160–190,stable
2176,88.01,40.0,3.93,2,65–100,unclear
2177,179.24,143.0,3.84,2,160–190,stable
2178,251.04,110.0,4.63,3,unknown,rising?
2179,161.28,95.0,2.96,15,130–180,negative?
2180,50.8,27.0,4.34,5,44–52,stable
2181,158.22,95.0,2.81,18,130–180,negative?
2182,250.16,110.0,4.46,2,unknown,rising?
2183,160.34,95.0,2.95,17,130–180,negative?
2184,160.09,95.0,2.82,17,130–180,negative?
2185,161.86,95.0,2.85,15,130–180,negative?
2186,160.88,95.0,3.19,14,130–180,negative?
2187,129.99,75.0,3.86,12,109–140,negative
2188,50.51,27.0,4.33,2,44–52,stable
2189,129.15,75.0,3.72,9,109–140,negative
2190,249.61,110.0,4.77,3,unknown,rising?
2191,180.74,143.0,4.1,4,160–190,stable
2192,249.54,110.0,4.56,0,unknown,rising?
2193,161.57,95.0,3.13,14,130–180,negative?
2194,177.19,143.0,4.24,3,160–190,stable
2195,251.94,110.0,4.71,0,unknown,rising?
2196,128.97,75.0,3.95,11,109–140,negative
2197,130.6,75.0,4.09,9,109–140,negative
2198,51.4,27.0,4.47,5,44–52,stable
2199,248.46,110.0,4.57,2,unknown,rising?
2200,89.02,40.0,4.29,3,65–100,unclear
2201,49.17,27.0,4.32,3,44–52,stable
2202,51.74,27.0,4.14,4,44–52,stable
2203,251.68,110.0,4.53,2,unknown,rising?
2204,128.59,75.0,3.57,14,109–140,negative
2205,158.79,95.0,2.97,14,130–180,negative?
2206,248.17,110.0,4.63,0,unknown,rising?
2207,90.88,40.0,4.06,3,65–100,unclear
2208,180.44,143.0,4.1,2,160–190,stable
2209,127.92,75.0,3.71,11,109–140,negative
2210,129.36,75.0,3.58,10,109–140,negative
2211,158.1,95.0,2.99,19,130–180,negative?
2212,161.42,95.0,2.9,18,130–180,negative?
2213,89.43,40.0,4.12,0,65–100,unclear
2214,130.35,75.0,3.99,9,109–140,negative
2215,128.68,75.0,4.01,14,109–140,negative
2216,50.2,27.0,4.18,3,44–52,stable
2217,49.34,27.0,4.31,5,44–52,stable
2218,48.62,27.0,4.51,1,44–52,stable
2219,130.97,75.0,3.61,11,109–140,negative
2220,159.97,95.0,3.26,17,130–180,negative?
2221,161.15,95.0,3.24,15,130–180,negative?
2222,251.05,110.0,4.96,0,unknown,rising?
2223,248.25,110.0,4.97,3,unknown,rising?
2224,127.09,75.0,3.85,13,109–140,negative
2225,91.28,40.0,4.28,0,65–100,unclear
2226,178.46,143.0,4.08,2,160–190,stable
2227,89.96,40.0,3.93,0,65–100,unclear
2228,127.97,75.0,3.7,14,109–140,negative
2229,159.66,95.0,2.88,14,130–180,negative?
2230,88.96,40.0,4.06,1,65–100,unclear
2231,130.09,75.0,3.54,12,109–140,negative
2232,130.81,75.0,3.93,13,109–140,negative
2233,129.44,75.0,3.6,11,109–140,negative
2234,88.19,40.0,4.22,0,65–100,unclear
2235,50.27,27.0,4.34,2,44–52,stable
2236,249.23,110.0,4.4,0,unknown,rising?
2237,250.91,110.0,4.78,0,unknown,rising?
2238,90.54,40.0,4.26,0,65–100,unclear
2239,251.93,110.0,4.44,1,unknown,rising?
2240,180.14,143.0,3.99,7,160–190,stable
2241,91.36,40.0,3.91,3,65–100,unclear
2242,159.02,95.0,3.22,18,130–180,negative?
2243,179.76,143.0,4.04,6,160–190,stable
2244,159.95,95.0,3.3,15,130–180,negative?
2245,49.16,27.0,4.51,3,44–52,stable
2246,128.59,75.0,3.92,9,109–140,negative
2247,128.25,75.0,4.04,10,109–140,negative
2248,51.11,27.0,4.5,0,44–52,stable
2249,49.06,27.0,4.43,3,44–52,stable
2250,51.04,27.0,4.2,1,44–52,stable
2251,158.07,95.0,2.96,16,130–180,negative?
2252,90.18,40.0,4.07,2,65–100,unclear
2253,90.7,40.0,4.22,3,65–100,unclear
2254,177.13,143.0,4.2,5,160–190,stable
2255,177.54,143.0,3.9,6,160–190,stable
2256,129.79,75.0,3.74,13,109–140,negative
2257,129.35,75.0,3.91,13,109–140,negative
2258,160.99,95.0,3.27,15,130–180,negative?
2259,128.99,75.0,3.68,11,109–140,negative
2260,129.48,75.0,3.8,14,109–140,negative
2261,91.5,40.0,4.38,3,65–100,unclear
2262,180.15,143.0,3.82,6,160–190,stable
2263,161.52,95.0,3.12,18,130–180,negative?
2264,178.69,143.0,3.84,2,160–190,stable
2265,179.15,143.0,3.93,4,160–190,stable
2266,178.72,143.0,3.7,7,160–190,stable
2267,90.81,40.0,3.91,0,65–100,unclear
2268,127.49,75.0,3.98,12,109–140,negative
2269,180.87,143.0,4.29,7,160–190,stable
2270,179.59,143.0,3.71,7,160–190,stable
2271,129.05,75.0,3.67,11,109–140,negative
2272,49.79,27.0,4.32,4,44–52,stable
2273,50.16,27.0,4.31,0,44–52,stable
2274,89.81,40.0,4.34,2,65–100,unclear
2275,88.83,40.0,4.3,2,65–100,unclear
2276,130.1,75.0,3.55,11,109–140,negative
2277,89.24,40.0,4.48,0,65–100,unclear
2278,89.52,40.0,3.92,0,65–100,unclear
2279,129.78,75.0,3.65,12,109–140,negative
2280,248.36,110.0,4.86,0,unknown,rising?
2281,180.79,143.0,3.96,4,160–190,stable
2282,90.47,40.0,3.97,4,65–100,unclear
2283,48.9,27.0,4.4,5,44–52,stable
2284,130.23,75.0,4.09,9,109–140,negative
2285,159.08,95.0,3.17,18,130–180,negative?
2286,49.79,27.0,4.15,4,44–52,stable
2287,127.21,75.0,3.57,12,109–140,negative
2288,91.08,40.0,4.42,1,65–100,unclear
2289,91.68,40.0,4.25,0,65–100,unclear
2290,159.67,95.0,3.17,17,130–180,negative?
2291,249.4,110.0,4.5,3,unknown,rising?
2292,159.81,95.0,3.33,15,130–180,negative?
2293,160.49,95.0,3.07,15,130–180,negative?
2294,250.02,110.0,4.9,0,unknown,rising?
2295,49.09,27.0,4.57,3,44–52,stable
2296,90.43,40.0,4.46,3,65–100,unclear
2297,128.07,75.0,3.87,10,109–140,negative
2298,178.97,143.0,4.16,2,160–190,stable
2299,158.0,95.0,2.88,18,130–180,negative?
2300,177.63,143.0,3.92,2,160–190,stable
2301,161.13,95.0,3.05,16,130–180,negative?
2302,88.73,40.0,4.36,1,65–100,unclear
2303,49.13,27.0,4.21,4,44–52,stable
2304,248.58,110.0,4.8,0,unknown,rising?
2305,91.87,40.0,4.48,3,65–100,unclear
2306,49.96,27.0,4.42,3,44–52,stable
2307,249.32,110.0,4.73,2,unknown,rising?
2308,90.33,40.0,4.14,4,65–100,unclear
2309,161.98,95.0,3.33,15,130–180,negative?
2310,48.26,27.0,4.26,5,44–52,stable
2311,177.58,143.0,3.89,3,160–190,stable
2312,89.19,40.0,4.21,0,65–100,unclear
2313,251.59,110.0,4.87,3,unknown,rising?
2314,128.03,75.0,4.03,10,109–140,negative
2315,89.77,40.0,4.19,0,65–100,unclear
2316,161.34,95.0,2.95,19,130–180,negative?
2317,160.79,95.0,2.99,19,130–180,negative?
2318,160.59,95.0,2.83,17,130–180,negative?
2319,127.96,75.0,3.59,11,109–140,negative
2320,160.95,95.0,3.09,18,130–180,negative?
2321,88.9,40.0,4.4,1,65–100,unclear
2322,177.95,143.0,4.01,7,160–190,stable
2323,91.88,40.0,4.16,0,65–100,unclear
2324,90.52,40.0,4.31,4,65–100,unclear
2325,129.5,75.0,3.65,10,109–140,negative
2326,159.47,95.0,2.82,18,130–180,negative?
2327,159.97,95.0,3.14,18,130–180,negative?
2328,249.39,110.0,4.89,0,unknown,rising?
2329,248.48,110.0,4.48,3,unknown,rising?
2330,179.83,143.0,4.15,3,160–190,stable
2331,129.98,75.0,3.89,9,109–140,negative
2332,179.91,143.0,3.85,4,160–190,stable
2333,178.75,143.0,4.13,5,160–190,stable
2334,49.69,27.0,4.41,4,44–52,stable
2335,51.09,27.0,4.6,4,44–52,stable
2336,177.65,143.0,4.09,5,160–190,stable
2337,49.05,27.0,4.13,2,44–52,stable
2338,248.74,110.0,4.53,1,unknown,rising?
2339,160.88,95.0,2.99,14,130–180,negative?
2340,50.08,27.0,4.47,2,44–52,stable
2341,88.3,40.0,3.95,0,65–100,unclear
2342,90.26,40.0,4.41,1,65–100,unclear
2343,250.68,110.0,4.92,0,unknown,rising?
2344,179.96,143.0,4.2,5,160–190,stable
2345,249.9,110.0,4.75,3,unknown,rising?
2346,127.77,75.0,4.07,14,109–140,negative
2347,178.75,143.0,3.98,2,160–190,stable
2348,161.56,95.0,3.38,18,130–180,negative?
2349,251.45,110.0,4.52,0,unknown,rising?
2350,179.33,143.0,4.08,4,160–190,stable
2351,179.02,143.0,4.06,3,160–190,stable
2352,130.42,75.0,3.68,11,109–140,negative
2353,250.65,110.0,4.55,0,unknown,rising?
2354,130.84,75.0,3.9,14,109–140,negative
2355,161.93,95.0,3.02,14,130–180,negative?
2356,90.87,40.0,4.02,0,65–100,unclear
2357,90.5,40.0,4.25,0,65–100,unclear
2358,127.88,75.0,3.68,12,109–140,negative
2359,128.45,75.0,3.67,11,109–140,negative
2360,91.5,40.0,3.99,0,65–100,unclear
2361,89.4,40.0,4.21,2,65–100,unclear
2362,128.85,75.0,3.89,9,109–140,negative
2363,90.75,40.0,4.03,1,65–100,unclear
2364,88.26,40.0,4.07,4,65–100,unclear
2365,89.83,40.0,4.13,2,65–100,unclear
2366,89.54,40.0,4.38,2,65–100,unclear
2367,51.22,27.0,4.55,5,44–52,stable
2368,127.79,75.0,3.91,13,109–140,negative
2369,91.65,40.0,4.48,2,65–100,unclear
2370,179.18,143.0,4.04,3,160–190,stable
2371,51.92,27.0,4.25,4,44–52,stable
2372,89.86,40.0,4.43,4,65–100,unclear
2373,130.49,75.0,3.55,9,109–140,negative
2374,161.41,95.0,3.04,18,130–180,negative?
2375,159.32,95.0,3.07,19,130–180,negative?
2376,160.69,95.0,3.3,19,130–180,negative?
2377,127.85,75.0,3.91,13,109–140,negative
2378,51.83,27.0,4.32,4,44–52,stable
2379,250.57,110.0,4.85,3,unknown,rising?
2380,178.87,143.0,3.88,4,160–190,stable
2381,158.83,95.0,2.84,14,130–180,negative?
2382,251.24,110.0,4.8,0,unknown,rising?
2383,249.45,110.0,4.45,3,unknown,rising?
2384,49.42,27.0,4.56,5,44–52,stable
2385,179.15,143.0,4.02,6,160–190,stable
2386,158.47,95.0,2.94,16,130–180,negative?
2387,89.15,40.0,3.98,3,65–100,unclear
2388,180.28,143.0,3.74,2,160–190,stable
2389,88.3,40.0,4.18,3,65–100,unclear
2390,130.62,75.0,3.55,13,109–140,negative
2391,178.81,143.0,3.77,2,160–190,stable
2392,49.37,27.0,4.49,1,44–52,stable
2393,51.75,27.0,4.65,1,44–52,stable
2394,89.86,40.0,4.48,0,65–100,unclear
2395,130.52,75.0,3.94,9,109–140,negative
2396,180.89,143.0,3.77,2,160–190,stable
2397,50.24,27.0,4.13,1,44–52,stable
2398,89.39,40.0,4.14,2,65–100,unclear
2399,127.48,75.0,4.1,14,109–140,negative
2400,130.36,75.0,4.04,12,109–140,negative
2401,159.55,95.0,2.81,19,130–180,negative?
2402,250.92,110.0,4.75,0,unknown,rising?
2403,158.05,95.0,3.33,14,130–180,negative?
2404,179.05,143.0,4.17,5,160–190,stable
2405,89.39,40.0,4.47,3,65–100,unclear
2406,89.87,40.0,4.1,2,65–100,unclear
2407,179.81,143.0,3.78,3,160–190,stable
2408,160.45,95.0,2.8,17,130–180,negative?
2409,129.76,75.0,3.96,12,109–140,negative
2410,91.99,40.0,4.18,0,65–100,unclear
2411,249.16,110.0,5.0,0,unknown,rising?
2412,250.63,110.0,4.95,0,unknown,rising?
2413,129.67,75.0,3.85,9,109–140,negative
2414,250.12,110.0,4.64,1,unknown,rising?
2415,91.69,40.0,3.92,3,65–100,unclear
2416,128.79,75.0,3.57,14,109–140,negative
