product_id,title,category,price,cost,attributes,description
1000,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1001,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate? Customer said: 'ok quality'.
1002,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1003,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1004,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1005,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1006,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1007,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1008,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1009,Slim Fti T-shirt,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1010,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1011,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1012,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1013,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1014,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1015,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1016,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1017,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood. Customer said: 'ok quality'.
1018,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1019,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?). Customer said: 'ok quality'.
1020,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues. Customer said: 'ok quality'.
1021,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1022,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1023,Slim Fti T-shirt,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1024,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1025,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1026,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1027,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1028,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1029,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1030,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1031,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1032,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1033,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1034,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1035,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1036,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1037,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1038,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32", Customer said: 'ok quality'.
1039,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1040,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1041,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1042,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1043,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1044,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1045,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น Customer said: 'ok quality'.
1046,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1047,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1048,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1049,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1050,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1051,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1052,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1053,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1054,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101? Customer said: 'ok quality'.
1055,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1056,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1057,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1058,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น Customer said: 'ok quality'.
1059,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1060,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1061,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1062,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1063,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1064,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1065,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1066,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1067,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1068,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1069,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1070,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1071,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1072,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1073,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1074,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1075,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1076,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1077,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1078,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1079,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1080,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1081,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32", Customer said: 'ok quality'.
1082,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1083,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1084,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?). Customer said: 'ok quality'.
1085,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1086,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1087,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1088,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate? Customer said: 'ok quality'.
1089,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1090,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101? Customer said: 'ok quality'.
1091,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1092,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32", Customer said: 'ok quality'.
1093,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1094,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1095,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1096,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1097,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1098,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1099,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1100,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1101,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1102,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1103,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1104,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1105,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1106,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn. Customer said: 'ok quality'.
1107,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1108,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1109,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1110,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1111,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1112,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1113,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1114,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1115,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1116,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1117,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1118,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1119,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1120,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1121,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1122,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1123,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1124,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1125,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1126,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1127,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1128,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1129,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1130,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1131,Slim Fti Tee,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1132,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1133,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1134,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1135,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1136,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1137,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1138,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1139,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1140,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1141,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1142,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1143,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
